Book Name,Author Name,Publisher Name,List Price,Selling Price,Binding,Release Date,Language
Divergent Series Boxed Set (books 1-3),Veronica Roth,HarperCollins Publishers,"Rs.1,099",Rs.747,PAPERBACK,24 Feb 2014,Not mentioned

Divergent Series Box Set (books 1-4 plus World of Divergent),Veronica Roth,HarperCollins Publishers,"Rs.1,699","Rs.1,240",PAPERBACK,20 Oct 2014,English

Paulo Coelho: the Deluxe Collection,Not mentioned,HarperCollins Publishers,"Rs.2,999","Rs.1,709",Paperback,29 Sep 2008,ENGLISH

World's Favourite,Not mentioned,HarperCollins Publishers,Rs.799,Rs.551,PAPERBACK,23 Nov 2015,ENGLISH

Twilight Saga Atom Collection Boxset,"Mark ""Cap'N Slap","Little, Brown Book Group","Rs.2,250","Rs.1,530",Paperback,14 Aug 2009,ENGLISH

Hobbit & The Lord of the Rings Boxed Set,J.R.R.Tolkien,HarperCollins Publishers,"Rs.1,799","Rs.1,223",Paperback,03 Nov 1997,English

Nancy Drew Starter Set,Carolyn Keene ,Grosset & Dunlap,Not mentioned,"Rs.2,563",Mixed media product,10 May 2012,English

Hunger Games,Suzzane Colline,Scholastic,"Rs.1,095",Rs.745,Paperback,September'2015,English

John Green Box Set,John Green,Speak,"Rs.3,539","Rs.2,407",Mixed media product,02 Oct 2014,English

Hercule Poirot,Not mentioned,HarperCollins Publishers,"Rs.2,499","Rs.1,699",Hardback,01 Sep 2013,Not mentioned

"The Lunar Chronicles Boxed Set: Cinder, Scarlet, Cress, Fairest, Winter",Marissa Meyer ,Feiwel & Friends,"Rs.7,774","Rs.5,753",Multiple copy pack,04 Oct 2016,English

Batman by Scott Snyder & Greg Capullo Box Set,Greg Capullo,DC Comics,"Rs.2,999","Rs.2,189",Paperback,13 Sep 2016,English

The Secrets Boxed Set, Orca Book Publishers,Orca Book Publishers,"Rs.6,076","Rs.5,071",Multiple copy pack,29 Sep 2015,English

The Wild Unknown Tarot Deck and Guidebook (Official Keepsake Box Set),Kim Krans,HarperOne,"Rs.1,999","Rs.1,319",Hardback,08 Nov 2016,English

The Burning of the World,Peter Zombory-Moldovan,New York Review of Books,"Rs.1,306",Rs.836,Paperback,05 Aug 2014,English

Naruto Box Set 1,Masashi Kishimoto,Viz Media,"Rs.11,999","Rs.7,799",Paperback,12 Aug 2008,English

Buddha Box Set (1-8),Not mentioned,Harper Collins Publishers,"Rs.4,999","Rs.3,349",Not mentioned,2014,ENGLISH

"Little People, Big Dreams: Women in Art",Isabel Sanchez Vegara,Lincoln Children's Books,"Rs.3,080","Rs.2,526",Hardback,04 Oct 2018,English

Sherlock Holmes Complete Collection (Set of 9 Books),Not mentioned,Pigeon Books,"Rs.1,699",Rs.883,Paperback,2016,Not mentioned

The Best Of Durjoy Dutta (Box Set),Not mentioned,Penguin Random House India,Rs.799,Rs.551,Not mentioned,November'2015,English

Classic Case of Dr. Seuss,Au,HarperCollins Publishers,"Rs.4,399","Rs.3,431",Mixed media product,22 Sep 2017,English

Pepper Series Set 1 (Set of 6 Books) (Pepper Books),Not mentioned,Shree Book Centre,Rs.360,Rs.281,Paperback,2015,English

Persepolis Box Set,Marjane Satrapi,Pantheon Books,"Rs.2,303","Rs.1,543",Mixed media product,25 Oct 2005,English

Secret Seven Complete Boxset (Set of 15 Books),Not mentioned,Hodder Children's Books,"Rs.1,750",Rs.998,PAPERBACK,2013,ENGLISH

A Series of Unfortunate Events #1-4 Netflix Tie-In Box Set,Brett Helquist,HarperCollins,"Rs.4,309","Rs.2,801",Hardback,24 Oct 2017,English

My First Library: Boxset of 10 Board Books for Kids,Wonder House Books Editorial,Wonder House Books;First Edition,Rs.750,Rs.480,Board Book,2018,English

Mickey Mouse Clubhouse Meeska Mooska Tales,Not mentioned,Disney Press,Rs.880,Rs.686,Hardback,16 Jun 2015,English

SET-SHERLOCK HOLMES(5 BOOKS),Not mentioned,Pustak Mahal,Rs.495,Rs.381,Paper Back,2012,English

