Book Name,Author Name,Publisher Name,List Price,Selling Price,Binding,Release Date,Language
Life's Amazing Secrets: How to Find Balance and Purpose in your life,Gaur Gopal Das,Penguin Ananda,Rs.250,Rs.150,Paper Back,2018,English

Great Gatsby,F. Scott Fitzgerald ,Prakash Book Depot,Rs.150,Rs.90,PAPERBACK,01 Apr 2013,ENGLISH

Who Will Cry When You Die?,Not mentioned,Jaico Publishing House,Rs.199,Rs.119,PAPERBACK,2003,ENGLISH

Power of Habit,Charles Duhigg,Cornerstone,Rs.599,Rs.413,Paperback,07 Feb 2013,Not mentioned

"Thinking, Fast and Slow",Daniel Kahneman,Penguin Books Ltd,Rs.599,Rs.413,Paperback,10 May 2012,ENGLISH

12 Rules for Life,Jordan B. Peterson,Penguin Books Ltd,Rs.699,Rs.482,Paperback,16 Jan 2018,English

Hutchison's Clinical Methods,Dr. Michael Glynn (Editor),Elsevier Health Sciences,"Rs.1,399",Rs.951,Paperback,01 Jun 2017,Not mentioned

"Don't Lose Out, Work Out!",Rujuta Diwekar,Westland,Rs.350,Rs.249,Paperback,23 Sep 2014,English

Keto Life,Sahil Makhija,Cider Mill Press,"Rs.1,996","Rs.1,597",Hardback,24 Sep 2019,English

Power Of Awakening,Not mentioned,Anubha Gupta,Rs.250,Rs.200,Not mentioned,2020,ENGLISH

Subtle Art Of Not Giving A F*ck, Unknown,HarperOne,Rs.499,Rs.349,PAPERBACK,13 Sep 2016,English

Great Stories for Children, Ruskin Bond,Rupa Publications,Rs.195,Rs.117,Paperback,01 Nov 2011,English

Voice and the Actor,Cicely Berry,Wiley,Rs.980,Rs.735,Paperback,13 Aug 1991,English

Heart Songs and Other Stories,Annie Proulx,Scribner Book Company,"Rs.1,155","Rs.1,016",Paperback,17 Mar 1995,English

Forgiving the Unforgivable,Beverly Flanigan,Wiley,"Rs.1,306","Rs.1,019",Paperback,01 Jun 1994,English

The Complete Short Stories of Thomas Wolfe,James Dickey,Collier Books                           ,"Rs.2,646","Rs.2,223",Paperback,01 May 1989,English

Assault at West Point,John Marszalek,Touchstone Books,"Rs.1,666","Rs.1,416",Paperback,19 Apr 1994,English

